cod_ibge,COD_idf,indice,pesos
3202652,d1_c2_i3,1,2190
3202652,d1_c7_i1,1,2190
3202652,d1_c7,1,2190
3202652,d6_c4_i2,1,2190
3202652,d6_c7_i2,1,2190
3202702,d1_c7_i1,1,2139
3202702,d1_c7,1,2139
3202702,d5_c1_i3,1,2139
3202702,d5_c1,1,2139
3202702,d6_c7_i2,1,2139
3202801,d5_c1_i3,1,8736
3202801,d5_c1,1,8736
3202900,d1_c4_i2,1,1167
3202900,d1_c7_i1,1,1167
3202900,d1_c7,1,1167
3202900,d5_c1_i3,1,1167
3202900,d5_c1,1,1167
3203106,d5_c1_i3,1,1959
3203106,d5_c1,1,1959
3203130,d1_c5_i2,1,2225
3203130,d1_c7_i1,1,2225
3203130,d1_c7,1,2225
3203130,d5_c1_i3,1,2225
3203130,d5_c1,1,2225
3203130,d6_c4_i2,1,2225
3203163,d1_c4_i2,1,1508
3203163,d1_c7_i1,1,1508
3203163,d1_c7,1,1508
3203163,d5_c1_i3,1,1508
3203163,d5_c1,1,1508
3203163,d5_c2_i2,1,1508
3203163,d6_c7_i2,1,1508
3203304,d1_c7_i1,1,2419
3203304,d1_c7,1,2419
3203304,d5_c1_i3,1,2419
3203304,d5_c1,1,2419
3203320,d5_c1_i3,1,8527
3203320,d5_c1,1,8527
3203346,d5_c1_i3,1,1700
3203346,d5_c1,1,1700
3203346,d6_c7_i1,1,1700
3203346,d6_c7_i2,1,1700
3203346,d6_c7,1,1700
3203353,d1_c4_i2,1,1866
3203353,d1_c5_i2,1,1866
3203353,d1_c7_i1,1,1866
3203353,d1_c7,1,1866
3203353,d5_c1_i3,1,1866
3203353,d5_c1,1,1866
3203403,d5_c1_i3,1,5482
3203403,d5_c1,1,5482
3203601,d1_c4_i2,1,1308
3203601,d1_c7_i1,1,1308
3203601,d1_c7,1,1308
3203601,d5_c1_i3,1,1308
3203601,d5_c1,1,1308
3203601,d6_c3_i1,1,1308
3203601,d6_c3,1,1308
3203809,d1_c7_i1,1,3022
3203809,d1_c7,1,3022
3203809,d5_c1_i3,1,3022
3203809,d5_c1,1,3022
3204104,d1_c7_i1,1,4211
3204104,d1_c7,1,4211
3204203,d1_c7_i1,1,4232
3204203,d1_c7,1,4232
3204203,d5_c1_i3,1,4232
3204203,d5_c1,1,4232
3204252,d1_c7_i1,1,1993
3204252,d1_c7,1,1993
3204252,d5_c1_i3,1,1993
3204252,d5_c1,1,1993
3204302,d5_c1_i3,1,3016
3204302,d5_c1,1,3016
3204351,d1_c7_i1,1,2112
3204351,d1_c7,1,2112
3204351,d5_c1_i3,1,2112
3204351,d5_c1,1,2112
3204401,d1_c4_i2,1,1247
3204401,d1_c7_i1,1,1247
3204401,d1_c7,1,1247
3204401,d5_c1_i3,1,1247
3204401,d5_c1,1,1247
3204500,d1_c2_i3,1,2176
3204500,d5_c1_i3,1,2176
3204500,d5_c1,1,2176
3204559,d1_c7_i1,1,3661
3204559,d1_c7,1,3661
3204609,d5_c1_i3,1,1801
3204609,d5_c1,1,1801
3204658,d5_c1_i3,1,1402
3204658,d5_c1,1,1402
3204708,d1_c7_i1,1,3988
3204708,d1_c7,1,3988
3204708,d5_c1_i3,1,3988
3204708,d5_c1,1,3988
3204955,d1_c4_i2,1,1505
3204955,d1_c5_i2,1,1505
3204955,d5_c1_i3,1,1505
3204955,d5_c1,1,1505
3205036,d5_c1_i3,1,2393
3205036,d5_c1,1,2393
3205069,d1_c2_i3,1,2627
3205069,d1_c4_i2,1,2627
3205069,d1_c7_i1,1,2627
3205069,d1_c7,1,2627
3205150,d1_c7_i1,1,1722
3205150,d1_c7,1,1722
3205150,d5_c1_i3,1,1722
3205150,d5_c1,1,1722
3205150,d6_c3_i1,1,1722
3205150,d6_c3,1,1722
3205176,d5_c1_i3,1,1918
3205176,d5_c1,1,1918
3200102,d6_c5_i2,"0,5896594173",4874
3200136,d6_c5_i2,"0,3592342342",1776
3200169,d6_c5_i2,"0,5438596491",2565
3200201,d6_c5_i2,"0,8164596927",4751
3200300,d6_c5_i2,"0,8452914798",1784
3200359,d6_c5_i2,"0,7864197531",1620
3200409,d6_c5_i2,"0,3133426313",4302
3200508,d6_c5_i2,"0,9503386005",1772
3200607,d6_c5_i2,"0,8420520231",13840
3200706,d6_c5_i2,"0,7792278412",1839
3200805,d6_c5_i2,"0,9713261649",5022
3200904,d6_c5_i2,"0,6798725585",7219
3201001,d6_c5_i2,"0,7051104972",2896
3201100,d6_c5_i2,"0,9914691943",2110
3201159,d6_c5_i2,"0,5036663611",2182
3201209,d6_c5_i2,"0,9383374471",22688
3201308,d6_c5_i2,"0,8151365844",57437
3201407,d6_c5_i2,"0,9349411105",3566
3201506,d6_c5_i2,"0,9565619224",14066
3201605,d6_c5_i2,"0,5352",6250
3201704,d6_c5_i2,"0,8271832718",1626
3201803,d6_c5_i2,"0,7106325707",743
3201902,d6_c5_i2,"0,7766225583",3174
3202009,d6_c5_i2,"0,7249042146",1305
3202108,d6_c5_i2,"0,7854166667",4320
3202207,d6_c5_i2,"0,7817561807",3519
3202256,d6_c5_i2,"0,5161691542",1608
3202306,d6_c5_i2,"0,8877327492",5478
3202405,d6_c5_i2,"0,7159912235",15496
